session_id,timestamp,hp,max_hp,pos_x,pos_y,vel_x,vel_y,grounded,facing,enemy0_present,enemy0_rel_x,enemy0_rel_y,enemy0_distance,enemy0_attacking,enemy1_present,enemy1_rel_x,enemy1_rel_y,enemy1_distance,enemy1_attacking,action_left,action_right,action_up,action_down,action_jump,action_dash,action_attack,action_skill,action_heal
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.017,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.061,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.125,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.175,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.222,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.268,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.313,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.376,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.424,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.472,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.517,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.565,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.626,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.675,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.722,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.768,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.813,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.858,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.922,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,1.967,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.013,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.061,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
